,age,bmi,systolic_bp,diastolic_bp,blood_glucose_mg_dl,cholesterol_mg_dl,heart_rate_bpm,risk_score,hospital_visits_per_year,family_history_of_disease
age,1.0,-0.007,-0.033,0.002,0.002,0.005,-0.046,-0.033,-0.026,-0.051
bmi,-0.007,1.0,0.039,-0.006,-0.038,0.01,0.036,0.317,0.008,-0.049
systolic_bp,-0.033,0.039,1.0,0.003,0.005,0.018,0.026,0.226,0.011,-0.011
diastolic_bp,0.002,-0.006,0.003,1.0,0.029,0.007,0.011,0.01,-0.009,0.018
blood_glucose_mg_dl,0.002,-0.038,0.005,0.029,1.0,0.022,-0.008,0.268,0.02,-0.011
cholesterol_mg_dl,0.005,0.01,0.018,0.007,0.022,1.0,-0.013,0.248,-0.0,0.013
heart_rate_bpm,-0.046,0.036,0.026,0.011,-0.008,-0.013,1.0,0.003,0.002,-0.012
risk_score,-0.033,0.317,0.226,0.01,0.268,0.248,0.003,1.0,-0.003,0.481
hospital_visits_per_year,-0.026,0.008,0.011,-0.009,0.02,-0.0,0.002,-0.003,1.0,-0.017
family_history_of_disease,-0.051,-0.049,-0.011,0.018,-0.011,0.013,-0.012,0.481,-0.017,1.0
