factor,category,mean_risk,median_risk,count
smoking_status,Current,2.152,2.0,506
smoking_status,Former,1.261,1.0,490
smoking_status,Never,1.239,1.0,1004
physical_activity_level,Lightly Active,1.516,1.0,688
physical_activity_level,Moderately Active,1.42,1.0,528
physical_activity_level,Sedentary,1.474,1.0,553
physical_activity_level,Very Active,1.485,1.0,231
bmi_category,Normal,1.137,1.0,578
bmi_category,Obese I,2.15,2.0,439
bmi_category,Obese II+,2.188,2.0,149
bmi_category,Overweight,1.182,1.0,681
bmi_category,Underweight,1.431,1.0,153
bp_stage,Elevated,1.244,1.0,221
bp_stage,Normal,1.337,1.0,588
bp_stage,Stage 1 HT,1.551,1.0,1140
bp_stage,Stage 2 HT,2.392,2.0,51
age_group,18-35,1.474,1.0,430
age_group,36-50,1.475,1.0,644
age_group,51-65,1.439,1.0,531
age_group,65+,1.469,1.0,277
age_group,<18,1.661,2.0,118
